Memory(KB),TowerARE,TowerAAE,MCMARE,MCMAAE
4,30841.803998,51475.570986,628276.575017,1048407.864275
8,14350.083198,23946.960363,378462.997205,631590.402359
16,6835.257313,11408.011365,165462.034078,276129.639014
64,1400.326386,2338.363742,22659.846871,37831.118994
128,407.957373,691.877688,9483.134033,15831.178648
256,104.453384,181.934690,4059.129203,6781.515087
512,22.727473,45.241261,1612.613091,2698.496778
1024,4.028082,10.199067,548.611595,920.700036
2048,0.759433,2.539703,162.017060,272.320582
4096,0.135635,0.623408,44.121313,73.522421
8192,0.019558,0.138980,11.508864,19.205510
16384,0.002191,0.027740,3.061740,5.271606
32768,0.000232,0.005405,0.864088,1.809851
65536,0.000023,0.001402,0.423995,1.035231
